Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
-14,5;0,745989305;0,176941553;0,823058447;0,569047752;0,430952248;0,095829747;0,077069142
-13,5;0,729946524;0,17213771;0,82786229;0,557808814;0,442191186;0,102560271;0,097915766
-12,5;0,711229947;0,162530024;0,837469976;0,548699923;0,451300077;0,109804152;0,126240029
-11,5;0,705882353;0,158526821;0,841473179;0,547355531;0,452644469;0,111635943;0,135590826
-10,5;0,703208556;0,150520416;0,849479584;0,55268814;0,44731186;0,110741557;0,146271028
-9,5;0,665775401;0,136909528;0,863090472;0,528865873;0,471134127;0,130450301;0,197315071
-8,5;0,64973262;0,136108887;0,863891113;0,513623733;0,486376267;0,141212866;0,214158493
-7,5;0,639037433;0,132105685;0,867894315;0,506931749;0,493068251;0,147745887;0,228856882
-6,5;0,625668449;0,127301841;0,872698159;0,498366608;0,501633392;0,156329869;0,247029709
-5,5;0,617647059;0,121697358;0,878302642;0,495949701;0,504050299;0,161004019;0,260655583
-4,5;0,585561497;0,110488391;0,889511609;0,475073107;0,524926893;0,183966957;0,303950112
-3,5;0,56684492;0,100080064;0,899919936;0,466764856;0,533235144;0,197639343;0,333075016
-2,5;0,556149733;0,099279424;0,900720576;0,456870309;0,543129691;0,206859464;0,344570844
-1,5;0,532085561;0,092874299;0,907125701;0,439211262;0,560788738;0,227569557;0,375040139
-0,5;0,494652406;0,088871097;0,911128903;0,40578131;0,59421869;0,263274262;0,416476497
0,5;0,443850267;0,079263411;0,920736589;0,364586857;0,635413143;0,315585213;0,476886322
1,5;0,422459893;0,073658927;0,926341073;0,348800966;0,651199034;0,338978213;0,50388118
2,5;0,403743316;0,066453163;0,933546837;0,337290153;0,662709847;0,359938057;0,529803522
3,5;0,395721925;0,061649319;0,938350681;0,334072606;0,665927394;0,36895263;0,542628755
4,5;0,382352941;0,058446757;0,941553243;0,323906184;0,676093816;0,384903913;0,559200301
5,5;0,35026738;0,053642914;0,946357086;0,296624465;0,703375535;0,42503004;0,596089706
6,5;0,339572193;0,050440352;0,949559648;0,28913184;0,71086816;0,438709118;0,609987455
7,5;0,326203209;0,043234588;0,956765412;0,282968621;0,717031379;0,455871346;0,630562204
8,5;0,304812834;0,040832666;0,959167334;0,263980168;0,736019832;0,484952502;0,6543545
9,5;0,29144385;0,039231385;0,960768615;0,252212465;0,747787535;0,503590919;0,669324765
10,5;0,248663102;0,029623699;0,970376301;0,219039403;0,780960597;0,565384698;0,721713199
11,5;0,245989305;0,028823058;0,971176942;0,217166246;0,782833754;0,569362897;0,725187637
12,5;0,235294118;0,025620496;0,974379504;0,209673621;0,790326379;0,585431496;0,739085386
13,5;0,227272727;0,024819856;0,975180144;0,202452871;0,797547129;0,597723463;0,747907417
14,5;0,221925134;0,021617294;0,978382706;0,20030784;0,79969216;0,605867805;0,756457572
15,5;0,187165775;0,020016013;0,979983987;0,167149763;0,832850237;0,661100117;0,792818212
16,5;0,168449198;0,018414732;0,981585268;0,150034466;0,849965534;0,691815839;0,81313607
17,5;0,165775401;0,018414732;0,981585268;0,147360669;0,852639331;0,696269784;0,815809867
18,5;0,160427807;0,016813451;0,983186549;0,143614357;0,856385643;0,705164159;0,822758742
19,5;0,155080214;0,016813451;0,983186549;0,138266763;0,861733237;0,714172137;0,828106335
20,5;0,144385027;0,01601281;0,98398719;0,128372216;0,871627784;0,732333393;0,839602163
21,5;0,14171123;0,01521217;0,98478783;0,12649906;0,87350094;0,736891023;0,8430766
22,5;0,139037433;0,01521217;0,98478783;0,123825263;0,876174737;0,741487952;0,845750397
23,5;0,136363636;0,013610889;0,986389111;0,122752748;0,877247252;0,746053025;0,850025475
24,5;0,131016043;0,012009608;0,987990392;0,119006435;0,880993565;0,755277349;0,85697435
26;0,114973262;0,010408327;0,989591673;0,104564935;0,895435065;0,78338066;0,874618411
27,5;0,104278075;0,009607686;0,990392314;0,094670389;0,905329611;0,802410075;0,886114239
28,5;0,096256684;0,008807046;0,991192954;0,087449639;0,912550361;0,816829544;0,89493627
29,5;0,090909091;0,007205765;0,992794235;0,083703326;0,916296674;0,826498204;0,901885144
30,5;0,085561497;0,006405124;0,993594876;0,079156373;0,920843627;0,836238801;0,908033379
32;0,080213904;0,004803843;0,995196157;0,075410061;0,924589939;0,84602954;0,914982253
33,5;0,07486631;0,004803843;0,995196157;0,070062467;0,929937533;0,855895421;0,920329847
34,5;0,069518717;0,004003203;0,995996797;0,065515514;0,934484486;0,865811444;0,926478081
35,5;0,061497326;0,004003203;0,995996797;0,057494124;0,942505876;0,880803294;0,934499471
37;0,058823529;0,004003203;0,995996797;0,054820327;0,945179673;0,885829174;0,937173268
39;0,056149733;0,004003203;0,995996797;0,05214653;0,94785347;0,890869353;0,939847065
41;0,053475936;0,004003203;0,995996797;0,049472733;0,950527267;0,89592383;0,942520862
43;0,048128342;0,004003203;0,995996797;0,04412514;0,95587486;0,906075678;0,947868455
44,5;0,048128342;0,003202562;0,996797438;0,04492578;0,95507422;0,906069909;0,948669096
47,5;0,045454545;0,001601281;0,998398719;0,043853264;0,956146736;0,911159589;0,952944174
50,5;0,037433155;0,001601281;0,998398719;0,035831874;0,964168126;0,926537495;0,960965564
53;0,034759358;0,001601281;0,998398719;0,033158077;0,966841923;0,931692061;0,963639361
55,5;0,034759358;0,000800641;0,999199359;0,033958718;0,966041282;0,931690137;0,964440001
58;0,034759358;0;1;0,034759358;0,965240642;0,931689496;0,965240642
61;0,029411765;0;1;0,029411765;0,970588235;0,942041522;0,970588235
62,5;0,026737968;0;1;0,026737968;0,973262032;0,947238983;0,973262032
64,5;0,024064171;0;1;0,024064171;0,975935829;0,952450742;0,975935829
66,5;0,021390374;0;1;0,021390374;0,978609626;0,957676799;0,978609626
71;0,016042781;0;1;0,016042781;0,983957219;0,968171809;0,983957219
75,5;0,013368984;0;1;0,013368984;0,986631016;0,973440762;0,986631016
77,5;0,010695187;0;1;0,010695187;0,989304813;0,978724013;0,989304813
79,5;0,00802139;0;1;0,00802139;0,99197861;0,984021562;0,99197861
82;0,005347594;0;1;0,005347594;0,994652406;0,98933341;0,994652406
91;0,002673797;0;1;0,002673797;0,997326203;0,994659556;0,997326203
99;0;0;1;0;1;1;1
