Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
0,414;0,387154326;0,213893967;0,786106033;0,173260359;0,826739641;0,421330449;0,398951706
0,42;0,387154326;0,212065814;0,787934186;0,175088513;0,824911487;0,420551729;0,40077986
0,426;0,387154326;0,21023766;0,78976234;0,176916667;0,823083333;0,419779693;0,402608014
0,4275;0,387154326;0,208409506;0,791590494;0,17874482;0,82125518;0,419014342;0,404436167
0,428;0,387154326;0,208409506;0,791590494;0,17874482;0,82125518;0,419014342;0,404436167
0,428;0,387154326;0,204753199;0,795246801;0,182401127;0,817598873;0,417503692;0,408092474
0,4295;0,386262266;0,204753199;0,795246801;0,181509067;0,818490933;0,418597879;0,408984535
0,431;0,386262266;0,204753199;0,795246801;0,181509067;0,818490933;0,418597879;0,408984535
0,4315;0,380909902;0,201096892;0,798903108;0,17981301;0,82018699;0,42371251;0,417993206
0,433;0,374665477;0,201096892;0,798903108;0,173568585;0,826431415;0,431483225;0,424237631
0,434;0,374665477;0,199268739;0,800731261;0,175396739;0,824603261;0,430751296;0,426065784
0,435;0,373773417;0,199268739;0,800731261;0,174504678;0,825495322;0,431867764;0,426957845
0,4365;0,372881356;0,199268739;0,800731261;0,173612617;0,826387383;0,432985824;0,427849905
0,438;0,371989295;0,199268739;0,800731261;0,172720557;0,827279443;0,434105475;0,428741966
0,4445;0,371989295;0,197440585;0,802559415;0,17454871;0,82545129;0,43338023;0,43057012
0,45;0,371989295;0,197440585;0,802559415;0,17454871;0,82545129;0,43338023;0,43057012
0,4555;0,369313113;0,197440585;0,802559415;0,171872528;0,828127472;0,436748734;0,433246302
0,462;0,367528992;0,188299817;0,811700183;0,179229175;0,820770825;0,435476397;0,444171191
0,465;0,365744871;0,18464351;0,81535649;0,181101361;0,818898639;0,436372795;0,449611619
0,472;0,36485281;0,18464351;0,81535649;0,1802093;0,8197907;0,437505179;0,45050368
0,4805;0,363960749;0,18464351;0,81535649;0,179317239;0,820682761;0,438639154;0,451395741
0,485;0,359500446;0,18464351;0,81535649;0,174856936;0,825143064;0,444332904;0,455856044
0,491;0,358608385;0,180987203;0,819012797;0,177621182;0,822378818;0,444139571;0,460404412
0,496;0,357716325;0,179159049;0,820840951;0,178557275;0,821442725;0,444626285;0,463124626
